zip_code,city,state,county,s2014_03,s2014_06,s2014_09,s2014_12,s2015_03,s2015_06,s2015_09,s2015_12,s2016_03,s2016_06,s2016_09,s2016_12,s2017_03,s2017_06,s2017_09,s2017_12
73527,Cache,OK,Comanche,89800,91800,92100,92500,90700,92000,92700,90000,89600,89100,88200,90600,91800,85500,81800,81300
73529,Comanche,OK,Stephens,64600,66500,66500,70000,70900,72100,71400,70900,69900,68200,66700,64500,65200,65700,65600,66200
73533,Duncan,OK,Stephens,64300,66500,66900,69600,69200,68200,68400,69000,68000,67300,67500,66400,65500,66400,67500,66800
73538,Elgin,OK,Comanche,143400,143000,144800,143900,142800,145800,152900,155800,152000,153900,151000,155100,156800,156400,159500,158200
73541,Fletcher,OK,Comanche,69800,75400,77400,76900,81000,81700,84700,84300,85800,90200,89600,92900,88400,78100,75500,78000
73554,Mangum,OK,Greer,42500,41800,41200,40300,40100,39900,39700,39200,39700,39900,41300,43900,46600,48900,50700,54500
73601,Clinton,OK,Custer,61600,65000,66600,69100,72100,71200,71600,73600,76400,80700,83000,82400,83200,86900,91900,96000
73644,Elk City,OK,Beckham,106500,111700,119900,121000,121300,120200,118200,115300,111200,111800,112300,108600,107300,104800,105400,105600
73669,Thomas,OK,Custer,76000,78500,77100,78300,82600,86100,95600,103600,108300,110000,107600,107900,106400,106300,107600,107200
73701,Enid,OK,Garfield,47900,48700,52500,54000,55900,60800,67000,70700,75100,73900,70400,70600,71200,76300,74600,74400
73703,Enid,OK,Garfield,114600,116400,121300,123400,127100,136400,143100,148200,149400,143800,136100,136600,139200,142000,142800,143000
73759,Medford,OK,Grant,88100,87100,85400,83500,81400,79300,77200,75700,75900,76400,80900,88900,96200,102000,103300,103600
74002,Barnsdall,OK,Osage,75800,73800,75100,79500,85300,86000,95000,97500,99000,106900,103900,98200,90700,89800,89500,89300
74003,Bartlesville,OK,Washington,42400,43500,43900,44000,46600,50100,52300,55500,59800,60600,59900,61600,61100,63700,65700,65400
74006,Bartlesville,OK,Washington,102900,107700,110900,112900,115700,119600,120600,120700,121900,120100,121500,120200,118400,119100,119900,121100
74008,Bixby,OK,Tulsa,163100,164500,165400,165500,168400,176300,181500,183000,180800,182300,186500,190700,194200,187300,185500,188600
74010,Bristow,OK,Creek,64800,65300,67500,68000,68800,70400,75600,82100,87000,90300,91200,93000,96800,100500,99900,100800
74011,Broken Arrow,OK,Tulsa,140000,142500,144100,144500,146900,151800,154300,155100,154100,155400,158600,162000,166700,162500,161200,163700
74012,Broken Arrow,OK,Tulsa,132200,134300,135200,136400,138800,143100,146000,147100,147700,149400,151500,153100,156900,152300,151700,155000
74014,Broken Arrow,OK,Tulsa,151600,153400,155800,157500,160600,162000,163600,165800,161900,164400,164000,166100,171200,164600,166000,168600
74015,Catoosa,OK,Rogers,128800,129600,131400,132800,135200,138400,140100,141000,141700,145900,148300,152600,154500,145900,146800,147200
74016,Chelsea,OK,Rogers,74600,81000,82700,81300,79400,79100,77100,81400,79600,82000,86300,88900,92700,87800,90100,88800
74017,Claremore,OK,Rogers,97500,97800,98000,97500,98800,103000,105400,107500,105600,105800,106800,108800,110700,106200,106700,109600
74019,Claremore,OK,Rogers,139000,142500,144300,146500,147900,149800,150000,152000,150400,151000,154200,158600,161500,155900,157300,157900
74021,Collinsville,OK,Tulsa,127500,128000,129900,132600,135500,138700,140500,141800,141000,141100,143900,146100,150600,147300,147000,147200
74022,Copan,OK,Washington,63600,70100,73700,74200,75900,78500,81300,83100,88700,91200,97400,97300,90600,92400,95200,94100
74023,Cushing,OK,Payne,73000,73600,77700,80000,81200,83200,87600,90500,92500,97100,90400,90400,92000,93200,93900,93800
74029,Dewey,OK,Washington,53100,56000,58100,58600,59900,63600,66600,68600,72500,74100,78100,78400,75900,76400,76700,76300
